10_1.wsq: is A; nn: hyp W, conf 0.78; conup n; hyp W, conf 0.78; wrong
10_2.wsq: is A; nn: hyp R, conf 0.62; conup n; hyp R, conf 0.62; wrong
10_3.wsq: is A; nn: hyp W, conf 0.63; conup n; hyp W, conf 0.63; wrong
10_4.wsq: is A; nn: hyp W, conf 0.68; conup n; hyp W, conf 0.68; wrong
10_5.wsq: is A; nn: hyp W, conf 0.82; conup n; hyp W, conf 0.82; wrong
10_6.wsq: is A; nn: hyp W, conf 0.62; conup n; hyp W, conf 0.62; wrong
10_7.wsq: is A; nn: hyp L, conf 0.36; conup n; hyp L, conf 0.36; wrong
10_8.wsq: is A; nn: hyp R, conf 0.56; conup n; hyp R, conf 0.56; wrong
11_1.wsq: is A; nn: hyp R, conf 0.99; conup n; hyp R, conf 0.99; wrong
11_2.wsq: is A; nn: hyp R, conf 1.00; conup n; hyp R, conf 1.00; wrong
11_3.wsq: is A; nn: hyp R, conf 0.88; conup n; hyp R, conf 0.88; wrong
11_4.wsq: is A; nn: hyp R, conf 0.77; conup n; hyp R, conf 0.77; wrong
11_5.wsq: is A; nn: hyp R, conf 0.99; conup n; hyp R, conf 0.99; wrong
11_6.wsq: is A; nn: hyp R, conf 1.00; conup n; hyp R, conf 1.00; wrong
11_7.wsq: is A; nn: hyp R, conf 0.97; conup n; hyp R, conf 0.97; wrong
11_8.wsq: is A; nn: hyp R, conf 0.99; conup n; hyp R, conf 0.99; wrong
12_1.wsq: is A; nn: hyp L, conf 0.61; conup n; hyp L, conf 0.61; wrong
12_2.wsq: is A; nn: hyp L, conf 0.99; conup n; hyp L, conf 0.99; wrong
12_3.wsq: is A; nn: hyp L, conf 0.77; conup n; hyp L, conf 0.77; wrong
12_4.wsq: is A; nn: hyp L, conf 0.99; conup n; hyp L, conf 0.99; wrong
12_5.wsq: is A; nn: hyp L, conf 0.61; conup n; hyp L, conf 0.61; wrong
12_6.wsq: is A; nn: hyp L, conf 0.65; conup n; hyp L, conf 0.65; wrong
12_7.wsq: is A; nn: hyp L, conf 0.75; conup n; hyp L, conf 0.75; wrong
12_8.wsq: is A; nn: hyp L, conf 0.87; conup n; hyp L, conf 0.87; wrong
13_1.wsq: is A; nn: hyp L, conf 0.97; conup n; hyp L, conf 0.97; wrong
13_2.wsq: is A; nn: hyp L, conf 0.95; conup n; hyp L, conf 0.95; wrong
